HUC12RNG,NS_CA_4.2.10c,UR_CA_4.2.10c,NS_CA_4.2.11c,UR_CA_4.2.11c,NS_CA_4.2.12,UR_CA_4.2.12,NS_CA_4.2.13c,UR_CA_4.2.13c,NS_CA_4.2.14,UR_CA_4.2.14,NS_CA_4.2.7c,UR_CA_4.2.7c,NS_CA_4.2.8c,UR_CA_4.2.8c,NS_CA_4.2.9c,UR_CA_4.2.9c,NS_CT_4.4.1,UR_CT_4.4.1,NS_CT_4.4.11,UR_CT_4.4.11,NS_CT_4.4.13,UR_CT_4.4.13,NS_CT_4.4.14u,UR_CT_4.4.14u,NS_CT_4.4.15,UR_CT_4.4.15,NS_CT_4.4.16,UR_CT_4.4.16,NS_CT_4.4.17h,UR_CT_4.4.17h,NS_CT_4.4.17s,UR_CT_4.4.17s,NS_CT_4.4.17w,UR_CT_4.4.17w,NS_CT_4.4.18,UR_CT_4.4.18,NS_CT_4.4.8,UR_CT_4.4.8,NS_CT_4.4.9,UR_CT_4.4.9,NS_CW_4.3.10,UR_CW_4.3.10,NS_CW_4.3.11,UR_CW_4.3.11,NS_CW_4.3.2,UR_CW_4.3.2,NS_CW_4.3.3,UR_CW_4.3.3,NS_CW_4.3.4,UR_CW_4.3.4,NS_CW_4.3.6,UR_CW_4.3.6,NS_CW_4.3.7,UR_CW_4.3.7,NS_CW_4.3.8,UR_CW_4.3.8,NS_CW_4.3.9,UR_CW_4.3.9,NS_CW_4.4.14w,UR_CW_4.4.14w,NS_MA_4.2.13a,UR_MA_4.2.13a,NS_MA_4.2.13b,UR_MA_4.2.13b,NS_MA_4.2.13c,UR_MA_4.2.13c,NS_MA_4.2.6a,UR_MA_4.2.6a,NS_MA_4.2.7a,UR_MA_4.2.7a,NS_MA_4.2.7b,UR_MA_4.2.7b,NS_MA_4.2.7c,UR_MA_4.2.7c,NS_MA_4.2.8a,UR_MA_4.2.8a,NS_MA_4.2.8b,UR_MA_4.2.8b,NS_MA_4.2.8c,UR_MA_4.2.8c,NS_MA_4.2.9a,UR_MA_4.2.9a,NS_MA_4.2.9b,UR_MA_4.2.9b,NS_MA_4.2.9c,UR_MA_4.2.9c,NS_MT_4.4.1,UR_MT_4.4.1,NS_MT_4.4.10,UR_MT_4.4.10,NS_MT_4.4.11,UR_MT_4.4.11,NS_MT_4.4.12,UR_MT_4.4.12,NS_MT_4.4.17h,UR_MT_4.4.17h,NS_MT_4.4.17s,UR_MT_4.4.17s,NS_MT_4.4.17w,UR_MT_4.4.17w,NS_MT_4.4.18,UR_MT_4.4.18,NS_MT_4.4.2,UR_MT_4.4.2,NS_MT_4.4.3,UR_MT_4.4.3,NS_MT_4.4.4,UR_MT_4.4.4,NS_MT_4.4.5,UR_MT_4.4.5,NS_MT_4.4.6,UR_MT_4.4.6,NS_MT_4.4.7,UR_MT_4.4.7,NS_MT_4.4.8,UR_MT_4.4.8,NS_MW_4.3.1,UR_MW_4.3.1,NS_MW_4.3.10,UR_MW_4.3.10,NS_MW_4.3.5,UR_MW_4.3.5,NS_MW_4.3.9,UR_MW_4.3.9,NS_PA_4.2.13b,UR_PA_4.2.13b,NS_PA_4.2.13c,UR_PA_4.2.13c,NS_PA_4.2.7b,UR_PA_4.2.7b,NS_PA_4.2.7c,UR_PA_4.2.7c,NS_PA_4.2.8b,UR_PA_4.2.8b,NS_PA_4.2.8c,UR_PA_4.2.8c,NS_PA_4.2.9b,UR_PA_4.2.9b,NS_PA_4.2.9c,UR_PA_4.2.9c,NS_PT_4.4.1,UR_PT_4.4.1,NS_PT_4.4.10,UR_PT_4.4.10,NS_PT_4.4.11,UR_PT_4.4.11,NS_PT_4.4.13,UR_PT_4.4.13,NS_PT_4.4.17h,UR_PT_4.4.17h,NS_PT_4.4.17s,UR_PT_4.4.17s,NS_PT_4.4.17w,UR_PT_4.4.17w,NS_PT_4.4.18,UR_PT_4.4.18,NS_PT_4.4.5,UR_PT_4.4.5,NS_PT_4.4.8,UR_PT_4.4.8,NS_PT_4.4.9,UR_PT_4.4.9,NS_PW_4.3.10,UR_PW_4.3.10,NS_PW_4.3.5,UR_PW_4.3.5,NS_PW_4.3.9,UR_PW_4.3.9,NS_SA_4.2.13c,UR_SA_4.2.13c,NS_SA_4.2.7c,UR_SA_4.2.7c,NS_SA_4.2.8c,UR_SA_4.2.8c,NS_SA_4.2.9c,UR_SA_4.2.9c,NS_ST_4.4.1,UR_ST_4.4.1,NS_ST_4.4.11,UR_ST_4.4.11,NS_ST_4.4.13,UR_ST_4.4.13,NS_ST_4.4.17h,UR_ST_4.4.17h,NS_ST_4.4.17s,UR_ST_4.4.17s,NS_ST_4.4.17w,UR_ST_4.4.17w,NS_ST_4.4.18,UR_ST_4.4.18,NS_ST_4.4.9,UR_ST_4.4.9,NS_SW_4.3.11,UR_SW_4.3.11,NS_SW_4.3.4,UR_SW_4.3.4,NS_SW_4.3.5,UR_SW_4.3.5,NS_SW_4.3.7,UR_SW_4.3.7,NS_SW_4.3.8,UR_SW_4.3.8,NS_SW_4.3.9,UR_SW_4.3.9
030101020801,4,0.1123,8,0.2634,7,0.1970,4,0.0770,2,0.0607,1,0.0500,5,0.3048,3,0.0608,2,0.1320,10,0.5865,15,0.8472,10,0.5001,5,0.2870,0,0.0000,12,0.5241,12,0.5636,4,0.2136,5,0.2875,1,0.0515,9,0.5524,2,0.1218,10,0.5117,8,0.3154,13,0.6213,11,0.5792,7,0.2640,9,0.6210,8,0.4567,3,0.1218,6,0.2479,0,0.0000,0,0.0000,0,0.0000,0,0.0000,1,0.1048,1,0.1048,1,0.1048,1,0.1048,1,0.1048,1,0.1048,3,0.0912,3,0.0912,2,0.0107,4,0.2773,10,0.5349,6,0.2739,10,0.5905,9,0.4480,7,0.3651,4,0.2224,3,0.1738,5,0.2759,5,0.2753,3,0.1591,1,0.0011,2,0.1320,2,0.1351,3,0.2054,2,0.1075,1,0.0271,6,0.3909,1,0.0271,7,0.2709,7,0.2709,4,0.2868,4,0.2868,4,0.2868,4,0.2868,5,0.1927,5,0.1927,2,0.1320,3,0.1907,12,0.7490,7,0.3585,8,0.4020,9,0.4430,3,0.1258,2,0.1320,1,0.0011,2,0.1320,8,0.3981,3,0.1591,11,0.5876,4,0.1591,1,0.0500,2,0.0512,2,0.1432,1,0.0500,1,0.0515,8,0.4784,10,0.4625,6,0.3124,6,0.3182,4,0.2136,3,0.1331,0,0.0000,3,0.1123,3,0.1556,2,0.1483,3,0.1882,1,0.0932,0,0.0000
030101020802,5,0.1812,8,0.3939,8,0.3149,4,0.1218,3,0.0995,1,0.0801,5,0.3909,3,0.0939,2,0.2050,10,0.9311,15,1.3471,10,0.7768,5,0.4420,0,0.0000,12,0.7897,12,0.8544,4,0.3212,5,0.4475,1,0.0773,8,0.8903,2,0.1958,10,0.7807,9,0.4872,12,0.9999,10,0.9290,7,0.3991,9,0.9970,8,0.7176,2,0.1958,6,0.3825,0,0.0000,0,0.0000,0,0.0000,0,0.0000,1,0.1767,1,0.1767,1,0.1767,1,0.1767,1,0.1767,1,0.1767,3,0.1415,3,0.1415,2,0.0137,4,0.4398,10,0.8129,6,0.4326,10,0.9175,9,0.6807,7,0.5591,4,0.3573,3,0.2617,5,0.4015,5,0.4238,3,0.2427,1,0.0078,2,0.2050,2,0.2160,3,0.3345,2,0.1654,1,0.0377,6,0.6188,1,0.0377,8,0.4291,8,0.4291,4,0.4619,4,0.4619,4,0.4619,4,0.4619,5,0.2989,5,0.2989,2,0.2050,3,0.2996,12,1.1801,7,0.5597,8,0.6039,9,0.6670,3,0.2001,2,0.2050,1,0.0078,2,0.2050,7,0.6244,3,0.2427,10,0.9224,3,0.2427,1,0.0801,2,0.0879,2,0.2301,1,0.0801,1,0.0773,8,0.7399,10,0.7029,6,0.4721,6,0.4727,4,0.3212,3,0.2128,0,0.0000,3,0.1598,3,0.2431,2,0.2374,3,0.2945,1,0.1499,0,0.0000
030101020803,4,0.1228,8,0.3094,7,0.2258,4,0.0957,2,0.0704,1,0.0521,4,0.1228,3,0.0682,2,0.1339,10,0.6146,15,0.9045,11,0.5374,5,0.3059,0,0.0000,12,0.6018,12,0.6310,4,0.2401,5,0.3047,1,0.0546,8,0.5510,2,0.1255,10,0.5595,8,0.3660,13,0.6658,11,0.6106,7,0.3078,10,0.6452,9,0.4702,2,0.1255,6,0.2518,0,0.0000,0,0.0000,0,0.0000,0,0.0000,1,0.1068,1,0.1068,1,0.1068,1,0.1068,1,0.1068,1,0.1068,3,0.0953,3,0.0953,2,0.0161,4,0.2833,10,0.5552,6,0.3018,10,0.6129,9,0.4944,7,0.3948,4,0.2381,3,0.1838,5,0.2744,5,0.2797,3,0.1605,1,0.0051,2,0.1339,2,0.1420,3,0.2129,2,0.1059,1,0.0266,6,0.3975,1,0.0266,7,0.2873,7,0.2873,4,0.2927,4,0.2927,4,0.2927,4,0.2927,5,0.2020,5,0.2020,2,0.1339,3,0.2048,12,0.7823,7,0.3824,8,0.4412,9,0.4913,3,0.1443,2,0.1339,1,0.0051,2,0.1339,7,0.4091,3,0.1605,10,0.6113,3,0.1605,1,0.0521,2,0.0572,2,0.1364,1,0.0521,1,0.0546,8,0.5010,10,0.5123,6,0.3537,6,0.3557,4,0.2401,3,0.1390,0,0.0000,3,0.1266,3,0.1563,2,0.1496,3,0.1889,1,0.0843,0,0.0000
030101020804,4,0.1265,8,0.2964,7,0.2375,4,0.1127,2,0.0673,1,0.0496,4,0.1265,3,0.0769,2,0.1282,10,0.5671,15,0.8192,11,0.5100,5,0.2730,0,0.0000,12,0.5236,12,0.5631,4,0.2040,5,0.2732,1,0.0497,9,0.5236,2,0.1169,10,0.4960,8,0.3374,14,0.6244,12,0.5768,7,0.2891,10,0.6004,9,0.4594,3,0.1169,6,0.2479,0,0.0000,0,0.0000,0,0.0000,0,0.0000,1,0.1032,1,0.1032,1,0.1032,1,0.1032,1,0.1032,1,0.1032,3,0.1058,3,0.1058,2,0.0273,4,0.2672,10,0.5281,6,0.2732,10,0.5694,9,0.4303,7,0.3525,4,0.2160,3,0.1668,5,0.2721,5,0.2733,3,0.1583,1,0.0086,2,0.1282,2,0.1250,3,0.1923,2,0.1087,1,0.0302,6,0.3741,1,0.0302,7,0.2857,7,0.2857,4,0.2809,4,0.2809,4,0.2809,4,0.2809,5,0.2050,5,0.2050,2,0.1282,3,0.1801,12,0.7208,7,0.3551,8,0.3880,9,0.4270,3,0.1249,2,0.1282,1,0.0086,2,0.1282,8,0.3890,3,0.1583,11,0.5658,4,0.1583,1,0.0496,2,0.0582,2,0.1357,1,0.0496,1,0.0497,8,0.4644,10,0.4546,6,0.2927,6,0.3017,4,0.2040,3,0.1368,0,0.0000,3,0.1129,3,0.1499,2,0.1405,3,0.1750,1,0.0861,0,0.0000
030101020805,3,0.0026,6,0.0037,5,0.0043,2,0.0016,2,0.0010,1,0.0011,3,0.0026,2,0.0016,2,0.0038,8,0.0131,13,0.0171,10,0.0131,5,0.0060,0,0.0000,10,0.0059,10,0.0086,4,0.0025,5,0.0065,1,0.0010,7,0.0149,2,0.0031,10,0.0093,6,0.0043,11,0.0141,10,0.0141,5,0.0038,9,0.0157,9,0.0142,2,0.0031,5,0.0074,0,0.0000,0,0.0000,0,0.0000,0,0.0000,1,0.0032,1,0.0032,1,0.0032,1,0.0032,1,0.0032,1,0.0032,2,0.0032,2,0.0032,1,0.0004,4,0.0078,8,0.0128,4,0.0035,9,0.0130,7,0.0052,5,0.0051,2,0.0031,3,0.0038,5,0.0095,5,0.0085,3,0.0047,0,0.0000,2,0.0038,1,0.0010,2,0.0031,2,0.0037,1,0.0009,5,0.0085,1,0.0009,6,0.0070,6,0.0070,4,0.0081,4,0.0081,4,0.0081,4,0.0081,4,0.0054,4,0.0054,2,0.0038,2,0.0023,11,0.0169,6,0.0087,7,0.0064,8,0.0064,2,0.0015,2,0.0038,0,0.0000,2,0.0038,6,0.0090,3,0.0047,9,0.0126,3,0.0047,1,0.0011,1,0.0011,2,0.0046,1,0.0011,1,0.0010,8,0.0121,9,0.0078,6,0.0032,6,0.0036,4,0.0025,2,0.0038,0,0.0000,3,0.0015,3,0.0045,2,0.0038,3,0.0050,1,0.0035,0,0.0000
030101020806,4,0.0399,8,0.0851,7,0.0737,4,0.0337,2,0.0212,1,0.0146,4,0.0399,3,0.0239,2,0.0425,9,0.1594,15,0.2387,11,0.1682,5,0.0846,0,0.0000,11,0.1493,11,0.1654,4,0.0605,5,0.0866,1,0.0159,9,0.1503,2,0.0384,10,0.1569,8,0.0955,14,0.1782,12,0.1650,7,0.0810,10,0.1712,9,0.1549,3,0.0384,6,0.0842,0,0.0000,0,0.0000,0,0.0000,0,0.0000,1,0.0342,1,0.0342,1,0.0342,1,0.0342,1,0.0342,1,0.0342,3,0.0358,3,0.0358,2,0.0093,4,0.0876,10,0.1549,6,0.0635,10,0.1593,8,0.1063,6,0.0850,3,0.0427,3,0.0535,5,0.0947,5,0.0910,3,0.0526,1,0.0027,2,0.0425,2,0.0160,3,0.0384,2,0.0366,1,0.0101,6,0.0988,1,0.0101,7,0.0939,7,0.0939,4,0.0913,4,0.0913,4,0.0913,4,0.0913,5,0.0664,5,0.0664,2,0.0425,3,0.0345,12,0.2092,7,0.1154,7,0.1170,8,0.1274,2,0.0341,2,0.0425,1,0.0027,2,0.0425,8,0.1053,3,0.0526,11,0.1597,4,0.0526,1,0.0146,2,0.0173,2,0.0447,1,0.0146,1,0.0159,8,0.1509,10,0.1432,6,0.0857,6,0.0904,4,0.0605,3,0.0452,0,0.0000,3,0.0370,3,0.0509,2,0.0462,3,0.0568,1,0.0301,0,0.0000
030101020901,5,0.1106,9,0.2226,8,0.1885,4,0.0749,3,0.0606,1,0.0428,5,0.1003,3,0.0566,2,0.1216,10,0.5119,16,0.7300,11,0.4545,6,0.2360,0,0.0000,13,0.4101,13,0.4605,4,0.1688,5,0.2412,1,0.0433,9,0.5493,3,0.1150,11,0.4314,10,0.2513,15,0.5991,13,0.5632,8,0.2029,10,0.5460,9,0.4290,4,0.1597,6,0.2474,0,0.0000,0,0.0000,0,0.0000,0,0.0000,1,0.0910,1,0.0910,1,0.0910,1,0.0910,1,0.0910,1,0.0910,3,0.0921,3,0.0921,2,0.0138,4,0.2474,10,0.5085,6,0.2356,10,0.5289,9,0.3628,7,0.3071,4,0.1883,3,0.1492,5,0.2809,5,0.2589,3,0.1501,1,0.0081,2,0.1216,3,0.1101,4,0.1711,2,0.1068,1,0.0286,7,0.3646,1,0.0286,8,0.2578,8,0.2578,4,0.2553,4,0.2553,4,0.2553,4,0.2553,5,0.1782,5,0.1782,2,0.1216,3,0.1570,12,0.6558,7,0.3228,9,0.3372,10,0.3650,3,0.0945,2,0.1216,1,0.0081,2,0.1216,8,0.4056,3,0.1501,12,0.5742,4,0.1948,1,0.0428,2,0.0509,2,0.1377,1,0.0428,1,0.0433,8,0.4286,11,0.3938,7,0.2409,7,0.2577,4,0.1688,3,0.1297,0,0.0000,4,0.1022,4,0.1584,2,0.1369,3,0.1693,1,0.0949,0,0.0000
030101020902,5,0.2498,9,0.5764,8,0.4354,4,0.1731,3,0.1504,1,0.0939,5,0.6862,3,0.1277,2,0.2431,10,1.0859,15,1.5980,11,0.9950,6,0.5443,0,0.0000,12,1.0483,12,1.1119,4,0.4114,5,0.5373,1,0.0972,9,1.1133,3,0.2470,10,0.9769,10,0.6640,15,1.3557,13,1.2476,8,0.5424,10,1.1656,9,0.8854,4,0.3573,6,0.4950,0,0.0000,0,0.0000,0,0.0000,0,0.0000,1,0.1897,1,0.1897,1,0.1897,1,0.1897,1,0.1897,1,0.1897,3,0.1797,3,0.1797,2,0.0338,4,0.5075,10,1.0154,6,0.5432,10,1.1129,9,0.8658,7,0.6976,4,0.4224,3,0.3257,5,0.5118,5,0.5212,3,0.3089,1,0.0259,2,0.2431,3,0.2457,4,0.3723,2,0.2116,1,0.0658,7,0.7506,1,0.0658,8,0.5544,8,0.5544,4,0.5267,4,0.5267,4,0.5267,4,0.5267,5,0.3708,5,0.3708,2,0.2431,3,0.3449,12,1.3921,7,0.6870,8,0.7839,9,0.8662,3,0.2548,2,0.2431,1,0.0259,2,0.2431,8,0.8657,3,0.3089,12,1.2426,4,0.4192,1,0.0939,2,0.1197,2,0.2573,1,0.0939,1,0.0972,8,0.8883,10,0.9123,6,0.6062,6,0.6166,4,0.4114,3,0.2690,0,0.0000,3,0.2272,4,0.3190,2,0.2701,3,0.3457,1,0.1635,0,0.0000
030101021001,5,0.1441,8,0.3356,8,0.2725,4,0.1394,3,0.0870,1,0.0331,5,0.2386,3,0.0802,2,0.1000,10,0.4705,16,0.6810,10,0.3933,6,0.3127,0,0.0000,13,0.5972,13,0.6052,4,0.2011,5,0.2213,1,0.0442,9,0.3920,2,0.0820,11,0.4800,10,0.4695,13,0.4990,11,0.4474,8,0.4059,9,0.3952,8,0.3002,3,0.1374,6,0.1767,0,0.0000,0,0.0000,0,0.0000,0,0.0000,1,0.0661,1,0.0661,1,0.0661,1,0.0661,1,0.0661,1,0.0661,3,0.1029,3,0.1029,2,0.0471,4,0.1931,10,0.4647,6,0.2311,10,0.4492,9,0.4364,7,0.3420,4,0.2002,3,0.1465,5,0.2352,5,0.1924,3,0.1126,1,0.0039,2,0.1000,3,0.1813,4,0.2191,2,0.0684,1,0.0126,6,0.2596,1,0.0126,8,0.2713,8,0.2713,4,0.1992,4,0.1992,4,0.1992,4,0.1992,5,0.1802,5,0.1802,2,0.1000,3,0.1609,12,0.5619,7,0.3043,9,0.4155,10,0.4632,3,0.1371,2,0.1000,1,0.0039,2,0.1000,8,0.3456,3,0.1126,11,0.4786,4,0.1680,1,0.0331,2,0.0370,2,0.0692,1,0.0331,1,0.0442,8,0.3863,11,0.4582,7,0.3121,7,0.3262,4,0.2011,3,0.1039,0,0.0000,4,0.1385,3,0.0986,2,0.0899,3,0.1172,1,0.0361,0,0.0000
030101021002,5,0.3464,9,0.6916,8,0.6133,4,0.3018,3,0.1996,1,0.0922,5,0.5822,3,0.1991,2,0.2454,10,1.1155,16,1.6477,10,0.9564,6,0.6676,0,0.0000,13,1.1827,13,1.2335,4,0.4160,5,0.5083,1,0.1004,9,1.0123,3,0.2246,11,1.0902,10,0.9180,14,1.2475,12,1.1425,8,0.7726,9,1.0119,8,0.8091,4,0.3316,6,0.4489,0,0.0000,0,0.0000,0,0.0000,0,0.0000,1,0.1843,1,0.1843,1,0.1843,1,0.1843,1,0.1843,1,0.1843,3,0.2521,3,0.2521,2,0.1070,4,0.4833,10,1.1180,6,0.5389,10,1.0598,9,0.9240,7,0.7406,4,0.4451,3,0.3302,5,0.5569,5,0.4876,3,0.2853,1,0.0108,2,0.2454,3,0.3875,4,0.4968,2,0.1850,1,0.0399,7,0.6746,1,0.0399,8,0.6775,8,0.6775,4,0.5219,4,0.5219,4,0.5219,4,0.5219,5,0.4446,5,0.4446,2,0.2454,3,0.3768,12,1.3524,7,0.7182,9,0.8801,10,0.9744,3,0.2721,2,0.2454,1,0.0108,2,0.2454,8,0.8443,3,0.2853,12,1.1651,4,0.3924,1,0.0922,2,0.1030,2,0.2177,1,0.0922,1,0.1004,8,0.9014,11,1.0275,7,0.6423,7,0.6838,4,0.4160,3,0.2562,0,0.0000,4,0.3078,4,0.2853,2,0.2369,3,0.2947,1,0.1255,0,0.0000
030101021003,5,0.6605,8,0.9486,8,0.9863,4,0.5430,3,0.3606,1,0.0725,4,0.5173,3,0.4413,2,0.1877,10,0.7716,15,1.0696,10,0.6700,6,0.4482,0,0.0000,13,0.9156,13,0.9759,4,0.2967,5,0.3621,1,0.0760,9,0.7304,2,0.1494,11,0.6946,10,1.2164,13,0.9358,12,0.8844,8,1.0120,10,0.7085,9,0.5552,3,0.2423,5,0.3005,0,0.0000,0,0.0000,0,0.0000,0,0.0000,1,0.1986,1,0.1986,1,0.1986,1,0.1986,1,0.1986,1,0.1986,3,0.4805,3,0.4805,2,0.3688,4,0.3538,9,0.7780,5,0.3486,10,0.7637,9,0.6102,7,0.5074,4,0.2927,3,0.2458,5,0.4376,5,0.3573,3,0.2031,0,0.0000,2,0.1877,3,0.2501,4,0.3235,2,0.1271,1,0.0154,6,0.4642,1,0.0154,8,0.8705,8,0.8705,4,0.4588,4,0.4588,4,0.4588,4,0.4588,5,0.6290,5,0.6290,2,0.1877,3,0.2484,12,0.9544,6,0.4979,9,0.5725,10,0.6239,3,0.1649,2,0.1877,0,0.0000,2,0.1877,8,0.5838,3,0.2031,11,0.7911,4,0.2961,1,0.0725,1,0.0725,2,0.1592,1,0.0725,1,0.0760,8,0.6691,10,0.6411,7,0.4165,7,0.4541,4,0.2967,2,0.1877,0,0.0000,4,0.1828,3,0.1600,2,0.1715,3,0.2057,1,0.0868,0,0.0000
030101021004,5,0.0160,8,0.0433,8,0.0315,4,0.0152,3,0.0094,1,0.0051,4,0.0147,3,0.0082,2,0.0156,8,0.0610,14,0.0903,10,0.0610,6,0.0452,0,0.0000,12,0.0772,12,0.0801,4,0.0310,5,0.0353,1,0.0065,8,0.0562,2,0.0128,11,0.0664,10,0.0604,12,0.0678,11,0.0617,8,0.0528,9,0.0581,9,0.0493,3,0.0215,5,0.0287,0,0.0000,0,0.0000,0,0.0000,0,0.0000,1,0.0099,1,0.0099,1,0.0099,1,0.0099,1,0.0099,1,0.0099,3,0.0122,3,0.0122,2,0.0031,4,0.0310,8,0.0613,4,0.0257,9,0.0626,7,0.0515,5,0.0393,2,0.0181,3,0.0225,5,0.0388,5,0.0314,3,0.0173,0,0.0000,2,0.0156,2,0.0169,3,0.0232,2,0.0108,1,0.0017,5,0.0337,1,0.0017,8,0.0344,8,0.0344,4,0.0306,4,0.0306,4,0.0306,4,0.0306,5,0.0238,5,0.0238,2,0.0156,2,0.0151,11,0.0795,6,0.0454,8,0.0547,9,0.0609,2,0.0163,2,0.0156,0,0.0000,2,0.0156,7,0.0438,3,0.0173,10,0.0672,4,0.0260,1,0.0051,1,0.0051,2,0.0125,1,0.0051,1,0.0065,8,0.0614,10,0.0616,7,0.0443,7,0.0456,4,0.0310,2,0.0156,0,0.0000,4,0.0165,3,0.0164,2,0.0164,3,0.0204,1,0.0074,0,0.0000
030101030102,3,0.0387,5,0.0671,5,0.0728,2,0.0230,2,0.0265,1,0.0152,3,0.0387,2,0.0182,2,0.0504,11,0.2772,13,0.3289,9,0.1951,5,0.1002,0,0.0000,10,0.1750,10,0.1841,3,0.0583,5,0.1193,2,0.0799,11,0.3924,2,0.0514,9,0.1828,5,0.0779,12,0.3696,11,0.3489,4,0.0545,11,0.3976,11,0.3464,3,0.0902,5,0.0880,0,0.0000,0,0.0000,0,0.0000,1,0.0005,2,0.0466,2,0.0466,1,0.0461,2,0.0466,2,0.0466,1,0.0461,3,0.0334,3,0.0334,1,0.0031,8,1.0762,13,1.0257,10,0.8887,15,1.0736,12,0.5125,10,0.4728,6,0.3207,5,0.1705,5,0.0800,10,0.9672,9,0.8734,0,0.0000,3,0.1486,7,0.4832,9,0.9147,5,0.1725,2,0.0054,9,0.2325,3,0.0098,6,0.1027,6,0.1027,4,0.1117,4,0.1117,4,0.1117,4,0.1117,4,0.0686,4,0.0686,2,0.0504,3,0.0808,12,0.2721,6,0.1408,7,0.1343,8,0.1550,2,0.0270,3,0.0548,0,0.0000,3,0.0824,8,0.1624,3,0.0553,11,0.2867,4,0.0598,1,0.0152,1,0.0152,2,0.0481,1,0.0152,1,0.0205,7,0.1513,8,0.1608,5,0.1070,5,0.1023,3,0.0583,2,0.0504,0,0.0000,3,0.0457,4,0.1359,2,0.0578,4,0.1486,1,0.0329,0,0.0000
030101030103,3,0.0027,5,0.0048,5,0.0051,2,0.0016,2,0.0020,1,0.0010,3,0.0027,2,0.0012,2,0.0034,10,0.0187,13,0.0228,9,0.0133,4,0.0068,0,0.0000,8,0.0127,8,0.0130,3,0.0045,5,0.0081,2,0.0053,11,0.0257,2,0.0033,9,0.0135,4,0.0053,12,0.0248,11,0.0231,3,0.0036,11,0.0261,11,0.0230,3,0.0058,5,0.0063,0,0.0000,0,0.0000,0,0.0000,1,0.0000,2,0.0028,2,0.0028,1,0.0028,2,0.0028,2,0.0028,1,0.0028,3,0.0023,3,0.0023,1,0.0003,7,0.0659,12,0.0650,8,0.0553,13,0.0672,11,0.0347,9,0.0315,5,0.0211,4,0.0112,5,0.0060,9,0.0601,7,0.0535,0,0.0000,3,0.0099,5,0.0281,7,0.0540,4,0.0111,2,0.0003,8,0.0154,2,0.0003,6,0.0071,6,0.0071,4,0.0072,4,0.0072,4,0.0072,4,0.0072,4,0.0047,4,0.0047,2,0.0034,3,0.0059,11,0.0185,6,0.0103,6,0.0097,7,0.0114,1,0.0019,2,0.0034,0,0.0000,2,0.0034,7,0.0106,3,0.0037,10,0.0193,3,0.0037,1,0.0010,1,0.0010,2,0.0032,1,0.0010,1,0.0015,7,0.0109,8,0.0122,5,0.0079,5,0.0077,3,0.0045,2,0.0034,0,0.0000,3,0.0034,4,0.0093,2,0.0041,4,0.0101,1,0.0022,0,0.0000
030101030104,3,0.0465,6,0.0787,6,0.0897,3,0.0334,2,0.0282,1,0.0204,3,0.0465,2,0.0225,2,0.0608,11,0.3044,13,0.3827,9,0.2305,5,0.1370,0,0.0000,11,0.2216,11,0.2371,3,0.0677,5,0.1354,2,0.0971,11,0.4584,2,0.0605,9,0.2089,6,0.1129,12,0.4381,11,0.4169,5,0.0868,11,0.4590,11,0.4054,3,0.0876,5,0.1036,0,0.0000,0,0.0000,0,0.0000,1,0.0014,2,0.0559,2,0.0559,1,0.0545,2,0.0559,2,0.0559,1,0.0545,3,0.0402,3,0.0402,1,0.0021,7,0.9320,12,1.1865,8,1.0368,13,1.2629,12,0.5637,10,0.5222,6,0.3404,4,0.1975,5,0.0937,9,1.1416,7,1.0366,0,0.0000,3,0.1786,5,0.1466,7,1.0164,4,0.1938,2,0.0040,8,0.2770,2,0.0040,6,0.1215,6,0.1215,4,0.1356,4,0.1356,4,0.1356,4,0.1356,4,0.0832,4,0.0832,2,0.0608,3,0.0917,11,0.3101,6,0.1636,7,0.1560,8,0.1772,2,0.0293,2,0.0608,0,0.0000,2,0.0608,7,0.1826,3,0.0633,10,0.3331,3,0.0633,1,0.0204,1,0.0204,2,0.0656,1,0.0204,1,0.0240,7,0.1773,8,0.1812,5,0.1158,5,0.1177,3,0.0677,2,0.0608,0,0.0000,3,0.0511,4,0.1664,2,0.0730,4,0.1822,1,0.0452,0,0.0000
