HUC12RNG,NS_CA_4.2.10c,UR_CA_4.2.10c,NS_CA_4.2.11c,UR_CA_4.2.11c,NS_CA_4.2.12,UR_CA_4.2.12,NS_CA_4.2.13c,UR_CA_4.2.13c,NS_CA_4.2.14,UR_CA_4.2.14,NS_CA_4.2.6a,UR_CA_4.2.6a,NS_CA_4.2.7c,UR_CA_4.2.7c,NS_CA_4.2.8c,UR_CA_4.2.8c,NS_CA_4.2.9c,UR_CA_4.2.9c,NS_CT_4.4.1,UR_CT_4.4.1,NS_CT_4.4.11,UR_CT_4.4.11,NS_CT_4.4.13,UR_CT_4.4.13,NS_CT_4.4.14u,UR_CT_4.4.14u,NS_CT_4.4.15,UR_CT_4.4.15,NS_CT_4.4.16,UR_CT_4.4.16,NS_CT_4.4.17h,UR_CT_4.4.17h,NS_CT_4.4.17s,UR_CT_4.4.17s,NS_CT_4.4.17w,UR_CT_4.4.17w,NS_CT_4.4.18,UR_CT_4.4.18,NS_CT_4.4.8,UR_CT_4.4.8,NS_CT_4.4.9,UR_CT_4.4.9,NS_CW_4.3.10,UR_CW_4.3.10,NS_CW_4.3.11,UR_CW_4.3.11,NS_CW_4.3.2,UR_CW_4.3.2,NS_CW_4.3.3,UR_CW_4.3.3,NS_CW_4.3.4,UR_CW_4.3.4,NS_CW_4.3.6,UR_CW_4.3.6,NS_CW_4.3.7,UR_CW_4.3.7,NS_CW_4.3.8,UR_CW_4.3.8,NS_CW_4.3.9,UR_CW_4.3.9,NS_CW_4.4.14w,UR_CW_4.4.14w,NS_MA_4.2.13a,UR_MA_4.2.13a,NS_MA_4.2.13b,UR_MA_4.2.13b,NS_MA_4.2.13c,UR_MA_4.2.13c,NS_MA_4.2.6a,UR_MA_4.2.6a,NS_MA_4.2.7a,UR_MA_4.2.7a,NS_MA_4.2.7b,UR_MA_4.2.7b,NS_MA_4.2.7c,UR_MA_4.2.7c,NS_MA_4.2.8a,UR_MA_4.2.8a,NS_MA_4.2.8b,UR_MA_4.2.8b,NS_MA_4.2.8c,UR_MA_4.2.8c,NS_MA_4.2.9a,UR_MA_4.2.9a,NS_MA_4.2.9b,UR_MA_4.2.9b,NS_MA_4.2.9c,UR_MA_4.2.9c,NS_MT_4.4.1,UR_MT_4.4.1,NS_MT_4.4.10,UR_MT_4.4.10,NS_MT_4.4.11,UR_MT_4.4.11,NS_MT_4.4.12,UR_MT_4.4.12,NS_MT_4.4.17h,UR_MT_4.4.17h,NS_MT_4.4.17s,UR_MT_4.4.17s,NS_MT_4.4.17w,UR_MT_4.4.17w,NS_MT_4.4.18,UR_MT_4.4.18,NS_MT_4.4.2,UR_MT_4.4.2,NS_MT_4.4.3,UR_MT_4.4.3,NS_MT_4.4.4,UR_MT_4.4.4,NS_MT_4.4.5,UR_MT_4.4.5,NS_MT_4.4.6,UR_MT_4.4.6,NS_MT_4.4.7,UR_MT_4.4.7,NS_MT_4.4.8,UR_MT_4.4.8,NS_MW_4.3.1,UR_MW_4.3.1,NS_MW_4.3.10,UR_MW_4.3.10,NS_MW_4.3.5,UR_MW_4.3.5,NS_MW_4.3.9,UR_MW_4.3.9,NS_PA_4.2.13b,UR_PA_4.2.13b,NS_PA_4.2.13c,UR_PA_4.2.13c,NS_PA_4.2.6a,UR_PA_4.2.6a,NS_PA_4.2.7b,UR_PA_4.2.7b,NS_PA_4.2.7c,UR_PA_4.2.7c,NS_PA_4.2.8b,UR_PA_4.2.8b,NS_PA_4.2.8c,UR_PA_4.2.8c,NS_PA_4.2.9b,UR_PA_4.2.9b,NS_PA_4.2.9c,UR_PA_4.2.9c,NS_PT_4.4.1,UR_PT_4.4.1,NS_PT_4.4.10,UR_PT_4.4.10,NS_PT_4.4.11,UR_PT_4.4.11,NS_PT_4.4.13,UR_PT_4.4.13,NS_PT_4.4.17h,UR_PT_4.4.17h,NS_PT_4.4.17s,UR_PT_4.4.17s,NS_PT_4.4.17w,UR_PT_4.4.17w,NS_PT_4.4.18,UR_PT_4.4.18,NS_PT_4.4.5,UR_PT_4.4.5,NS_PT_4.4.8,UR_PT_4.4.8,NS_PT_4.4.9,UR_PT_4.4.9,NS_PW_4.3.10,UR_PW_4.3.10,NS_PW_4.3.5,UR_PW_4.3.5,NS_PW_4.3.9,UR_PW_4.3.9,NS_SA_4.2.13c,UR_SA_4.2.13c,NS_SA_4.2.6a,UR_SA_4.2.6a,NS_SA_4.2.7c,UR_SA_4.2.7c,NS_SA_4.2.8c,UR_SA_4.2.8c,NS_SA_4.2.9c,UR_SA_4.2.9c,NS_ST_4.4.1,UR_ST_4.4.1,NS_ST_4.4.11,UR_ST_4.4.11,NS_ST_4.4.13,UR_ST_4.4.13,NS_ST_4.4.17h,UR_ST_4.4.17h,NS_ST_4.4.17s,UR_ST_4.4.17s,NS_ST_4.4.17w,UR_ST_4.4.17w,NS_ST_4.4.18,UR_ST_4.4.18,NS_ST_4.4.9,UR_ST_4.4.9,NS_SW_4.3.10,UR_SW_4.3.10,NS_SW_4.3.11,UR_SW_4.3.11,NS_SW_4.3.4,UR_SW_4.3.4,NS_SW_4.3.5,UR_SW_4.3.5,NS_SW_4.3.7,UR_SW_4.3.7,NS_SW_4.3.8,UR_SW_4.3.8,NS_SW_4.3.9,UR_SW_4.3.9
030101020801,9,0.5292,11,0.6459,13,0.7429,10,0.6081,4,0.1835,1,0.1224,4,0.3406,10,0.8586,7,0.4342,2,0.1182,16,0.8424,19,0.9819,17,0.8758,7,0.3689,0,0.0000,17,0.8660,17,0.8836,8,0.3984,10,0.5240,1,0.0464,14,0.8282,4,0.2684,14,0.7705,13,0.6661,21,1.2654,20,1.2109,10,0.5136,14,0.8345,15,0.9080,6,0.4177,11,0.5283,3,0.2074,3,0.2074,3,0.2074,0,0.0000,5,0.3355,5,0.3355,5,0.3355,5,0.3389,5,0.3389,5,0.3389,6,0.3799,6,0.3799,5,0.3081,4,0.2315,14,0.8548,17,0.9950,21,1.2293,15,0.8334,11,0.6180,10,0.6638,10,0.5681,13,0.7058,14,0.7857,17,1.0915,1,0.0593,3,0.1995,2,0.1011,3,0.1593,8,0.4717,4,0.2330,17,1.1359,7,0.3948,12,0.6639,13,0.7516,1,0.1224,9,1.2518,11,1.4619,9,1.2408,11,1.4509,9,0.5133,10,0.6010,2,0.1182,9,0.5386,27,2.1972,11,0.5726,14,0.7797,15,1.4515,11,1.3382,11,1.2619,1,0.0593,2,0.1182,20,1.8603,9,1.2603,24,2.2462,14,1.5500,7,0.4320,1,0.1224,5,0.3999,8,0.5544,6,0.3821,1,0.0464,13,0.6544,14,0.7238,9,0.4571,10,0.4935,8,0.3984,8,0.4286,3,0.1341,2,0.1638,6,0.3517,8,0.5703,6,0.3911,9,0.5743,7,0.4355,2,0.0971
030101020802,10,0.9253,11,0.9841,14,1.2510,10,0.9261,5,0.3990,1,0.1861,4,0.5185,10,1.3065,7,0.6610,2,0.1804,16,1.2848,19,1.4975,17,1.3356,7,0.5627,0,0.0000,17,1.3206,17,1.3472,8,0.6079,10,0.7994,1,0.0709,12,0.9550,4,0.4088,14,1.1749,14,1.1345,19,1.6207,18,1.5378,10,0.7827,13,1.0850,14,1.1965,5,0.5154,11,0.8055,3,0.3162,3,0.3162,3,0.3162,0,0.0000,5,0.5112,5,0.5112,5,0.5112,5,0.5169,5,0.5169,5,0.5169,6,0.5790,6,0.5790,5,0.4694,4,0.3530,14,1.3038,17,1.5161,21,1.8742,15,1.2713,11,0.9427,10,1.0126,10,0.8663,13,1.0770,14,1.1981,16,1.4761,1,0.0901,3,0.3044,2,0.1542,3,0.2429,8,0.7182,4,0.3546,16,1.5440,7,0.6009,13,1.1312,14,1.2646,1,0.1861,9,1.9097,11,2.2292,9,1.8930,11,2.2126,9,0.7820,10,0.9154,2,0.1804,9,0.8216,27,3.3514,11,0.8733,14,1.1892,15,2.2147,11,2.0420,11,1.9253,1,0.0901,2,0.1804,19,2.7163,9,1.9218,22,3.1169,13,2.2421,7,0.6579,1,0.1861,5,0.6086,8,0.8440,6,0.5817,1,0.0709,13,0.9985,14,1.1041,9,0.6974,10,0.7529,8,0.6079,8,0.6537,3,0.2046,2,0.2492,6,0.5359,7,0.6818,6,0.5961,8,0.6879,7,0.6634,2,0.1477
030101020803,9,0.5556,11,0.6781,13,0.7799,10,0.6384,4,0.1926,0,0.0000,3,0.2291,8,0.5045,7,0.4558,2,0.1241,16,0.8545,19,1.0015,18,1.0106,7,0.3873,0,0.0000,17,0.9083,17,0.9267,8,0.4182,10,0.5501,1,0.0488,12,0.6571,3,0.1533,13,0.6804,13,0.6993,19,1.0788,18,1.0215,10,0.5392,13,0.7097,14,0.7868,4,0.2268,11,0.5546,3,0.2177,3,0.2177,3,0.2177,0,0.0000,5,0.3522,5,0.3522,5,0.3522,5,0.3558,5,0.3558,5,0.3558,6,0.3988,6,0.3988,5,0.3234,4,0.2430,14,0.8681,17,1.0152,21,1.2905,15,0.8742,11,0.6482,10,0.6963,10,0.5963,13,0.7409,14,0.7955,16,0.9874,1,0.0622,3,0.2095,2,0.1061,3,0.1672,8,0.4951,4,0.2447,16,1.0633,7,0.4144,12,0.6970,13,0.7890,0,0.0000,9,1.3143,10,1.4063,9,1.3027,10,1.3948,9,0.5389,10,0.6310,2,0.1241,9,0.5361,27,2.2775,11,0.6011,14,0.8176,15,1.5230,11,1.4044,11,1.3248,1,0.0622,2,0.1241,19,1.8406,8,1.1947,21,2.0173,12,1.4156,7,0.4535,0,0.0000,4,0.2913,7,0.4535,6,0.4011,1,0.0488,13,0.6869,14,0.7596,9,0.4796,10,0.5178,8,0.4182,8,0.4499,3,0.1407,1,0.0434,5,0.2407,6,0.3410,5,0.2821,7,0.3452,6,0.3287,2,0.1019
030101020804,10,0.5837,11,0.6234,14,0.7899,10,0.5869,5,0.2500,0,0.0000,3,0.2106,9,0.7012,7,0.4190,2,0.1142,16,0.7844,19,0.9211,18,0.9293,7,0.3561,0,0.0000,17,0.8340,17,0.8509,8,0.3846,10,0.5059,1,0.0448,12,0.6044,3,0.1410,13,0.6258,14,0.7158,19,0.9920,18,0.9394,10,0.4957,13,0.6527,14,0.7236,4,0.2086,11,0.5100,3,0.2002,3,0.2002,3,0.2002,0,0.0000,5,0.3238,5,0.3238,5,0.3238,5,0.3272,5,0.3272,5,0.3272,6,0.3667,6,0.3667,5,0.2974,4,0.2235,14,0.7985,17,0.9336,21,1.1868,15,0.8025,11,0.5947,10,0.6389,10,0.5484,13,0.6815,14,0.7317,16,0.9081,1,0.0572,3,0.1926,2,0.0976,3,0.1538,8,0.4552,4,0.2249,16,0.9778,7,0.3810,13,0.7137,14,0.7984,0,0.0000,9,1.2085,10,1.2931,9,1.1979,10,1.2825,9,0.4955,10,0.5801,2,0.1142,9,0.4931,27,2.0944,11,0.5529,14,0.7506,15,1.3993,11,1.2900,11,1.2182,1,0.0572,2,0.1142,19,1.6926,8,1.0985,21,1.8550,12,1.3016,7,0.4169,0,0.0000,4,0.2679,7,0.4170,6,0.3687,1,0.0448,13,0.6318,14,0.6989,9,0.4413,10,0.4765,8,0.3846,8,0.4138,3,0.1295,1,0.0399,5,0.2214,6,0.3136,5,0.2594,7,0.3175,6,0.3023,2,0.0937
030101020805,6,0.0079,8,0.0103,9,0.0114,6,0.0082,3,0.0032,0,0.0000,2,0.0031,6,0.0079,5,0.0067,2,0.0028,15,0.0182,18,0.0214,17,0.0215,7,0.0088,0,0.0000,15,0.0178,15,0.0183,8,0.0095,10,0.0125,1,0.0011,12,0.0150,3,0.0035,13,0.0155,10,0.0117,18,0.0231,18,0.0232,8,0.0092,13,0.0161,13,0.0158,4,0.0052,10,0.0112,3,0.0049,3,0.0049,3,0.0049,0,0.0000,5,0.0080,5,0.0080,5,0.0080,5,0.0081,5,0.0081,5,0.0081,5,0.0075,5,0.0075,4,0.0058,4,0.0055,13,0.0183,16,0.0217,21,0.0293,14,0.0186,10,0.0134,9,0.0146,10,0.0135,13,0.0169,14,0.0181,16,0.0224,0,0.0000,3,0.0048,2,0.0024,3,0.0038,8,0.0112,4,0.0055,16,0.0242,7,0.0094,10,0.0132,10,0.0132,0,0.0000,9,0.0298,9,0.0298,9,0.0296,9,0.0296,7,0.0096,7,0.0096,2,0.0028,9,0.0122,27,0.0517,10,0.0123,12,0.0155,14,0.0333,10,0.0306,11,0.0301,0,0.0000,2,0.0028,19,0.0418,8,0.0271,21,0.0458,11,0.0309,5,0.0070,0,0.0000,2,0.0031,5,0.0071,4,0.0059,1,0.0011,13,0.0156,13,0.0159,9,0.0109,10,0.0118,8,0.0095,7,0.0088,3,0.0032,1,0.0010,5,0.0055,6,0.0078,5,0.0064,7,0.0079,5,0.0054,1,0.0012
030101020806,9,0.1635,11,0.1996,13,0.2296,10,0.1879,4,0.0567,0,0.0000,3,0.0674,8,0.1485,7,0.1342,2,0.0365,15,0.2342,19,0.2935,18,0.2971,7,0.1140,0,0.0000,16,0.2510,16,0.2564,8,0.1231,10,0.1619,1,0.0144,13,0.2157,3,0.0451,13,0.2003,13,0.2058,20,0.3394,19,0.3230,10,0.1587,13,0.2080,14,0.2317,5,0.0899,11,0.1628,3,0.0641,3,0.0641,3,0.0641,0,0.0000,5,0.1037,5,0.1037,5,0.1037,5,0.1048,5,0.1048,5,0.1048,6,0.1174,6,0.1174,5,0.0952,4,0.0715,14,0.2542,17,0.2975,21,0.3791,14,0.2400,10,0.1734,9,0.1876,10,0.1756,13,0.2182,14,0.2342,16,0.2907,1,0.0179,3,0.0617,2,0.0303,3,0.0483,8,0.1458,4,0.0720,16,0.3122,7,0.1220,12,0.2052,13,0.2323,0,0.0000,9,0.3870,10,0.4141,9,0.3836,10,0.4107,9,0.1586,10,0.1857,2,0.0365,9,0.1569,27,0.6697,11,0.1765,13,0.2243,14,0.4320,10,0.3970,11,0.3901,1,0.0179,2,0.0365,20,0.5642,8,0.3518,22,0.6162,13,0.4399,7,0.1335,0,0.0000,4,0.0853,7,0.1335,6,0.1181,1,0.0144,13,0.2023,14,0.2233,9,0.1413,10,0.1525,8,0.1231,8,0.1320,3,0.0414,1,0.0128,5,0.0709,6,0.1004,5,0.0831,7,0.1016,6,0.0968,2,0.0300
030101020901,10,0.5322,12,0.6430,14,0.7194,10,0.5325,5,0.2295,1,0.1072,4,0.2984,9,0.5281,7,0.3802,2,0.1036,16,0.6738,20,0.9494,17,0.7559,8,0.3799,0,0.0000,18,0.8437,18,0.8590,8,0.3493,10,0.4594,1,0.0407,13,0.6163,5,0.3125,15,0.7965,15,0.7088,21,1.0669,20,1.0289,11,0.5064,13,0.6237,14,0.6879,7,0.4415,11,0.4532,3,0.1799,3,0.1799,3,0.1799,0,0.0000,5,0.2940,5,0.2940,5,0.2940,5,0.2952,5,0.2952,5,0.2952,6,0.3310,6,0.3310,5,0.2680,4,0.2029,14,0.7151,17,0.8359,21,1.0756,15,0.6904,11,0.5016,10,0.5417,10,0.4961,13,0.6186,14,0.6642,16,0.8226,1,0.0421,3,0.1749,3,0.1451,4,0.1961,8,0.4134,4,0.2042,17,0.9631,7,0.3441,13,0.6505,14,0.7272,1,0.1072,9,1.0977,11,1.2816,9,1.0880,11,1.2720,9,0.4496,10,0.5264,2,0.1036,9,0.4477,27,1.9001,11,0.4920,15,0.7680,16,1.3574,11,1.1352,11,1.1066,1,0.0421,2,0.1036,20,1.6067,9,1.1051,24,1.9388,14,1.3570,7,0.3783,1,0.1072,5,0.3405,8,0.4856,6,0.3346,1,0.0407,13,0.5736,15,0.7457,10,0.5237,11,0.5556,8,0.3493,8,0.3659,3,0.1175,2,0.1435,7,0.4312,8,0.4693,6,0.3428,8,0.3955,7,0.3815,2,0.0850
030101020902,10,1.1521,12,1.4385,14,1.5572,10,1.1526,5,0.4968,1,0.2321,4,0.6455,10,1.6277,7,0.8229,2,0.2242,16,1.5729,19,1.8531,18,1.8251,8,0.7995,0,0.0000,17,1.6254,17,1.6586,8,0.7552,10,0.9934,1,0.0881,14,1.4911,5,0.7231,14,1.4610,15,1.5120,23,2.6989,22,2.5957,11,1.0739,15,1.6677,16,1.8065,7,1.0064,11,1.0015,3,0.3934,3,0.3934,3,0.3934,0,0.0000,5,0.6361,5,0.6361,5,0.6361,5,0.6428,5,0.6428,5,0.6428,6,0.7205,6,0.7205,5,0.5844,4,0.4390,14,1.6122,17,1.8781,21,2.3312,15,1.5641,11,1.1556,10,1.2426,10,1.0771,13,1.3384,14,1.4815,17,1.9819,1,0.1121,3,0.3784,3,0.2916,4,0.4021,8,0.8946,4,0.4420,18,2.2885,7,0.7488,13,1.4080,14,1.5738,1,0.2321,9,2.3745,11,2.7724,9,2.3537,11,2.7517,9,0.9735,10,1.1393,2,0.2242,9,1.0129,27,4.1589,11,1.0855,14,1.4605,15,2.7363,11,2.5221,11,2.3935,1,0.1121,2,0.2242,20,3.5201,9,2.3907,25,4.3948,14,2.9401,7,0.8188,1,0.2321,5,0.7576,8,1.0509,6,0.7241,1,0.0881,13,1.2408,14,1.3718,9,0.8662,10,0.9352,8,0.7552,8,0.8125,3,0.2542,2,0.3105,6,0.6667,9,1.2159,6,0.7416,9,1.0094,7,0.8253,2,0.1841
030101021001,10,0.5251,11,0.5581,14,0.7098,10,0.5255,5,0.2263,1,0.1057,4,0.2943,10,0.7419,7,0.3751,2,0.1022,16,0.7193,20,0.9885,17,0.7529,8,0.3764,0,0.0000,18,0.8895,18,0.8753,8,0.3443,10,0.4528,1,0.0401,13,0.6073,4,0.2319,16,0.8949,15,0.7011,21,1.0989,20,1.0243,11,0.5015,13,0.6147,14,0.6782,7,0.4453,11,0.4546,3,0.1772,3,0.1772,3,0.1772,0,0.0000,5,0.2898,5,0.2898,5,0.2898,5,0.2908,5,0.2908,5,0.2908,6,0.3262,6,0.3262,5,0.2642,4,0.2000,14,0.7339,17,0.8513,21,1.0585,15,0.7439,11,0.5284,10,0.5679,10,0.4873,13,0.6098,14,0.6759,16,0.8303,1,0.0493,3,0.1724,3,0.1450,4,0.1953,8,0.4060,4,0.2013,16,0.8715,7,0.3375,13,0.6415,14,0.7173,1,0.1057,9,1.0823,11,1.2638,9,1.0728,11,1.2543,9,0.4436,10,0.5193,2,0.1022,9,0.4625,27,1.8926,11,0.5223,15,0.7856,16,1.3960,11,1.1532,11,1.0894,1,0.0493,2,0.1022,20,1.6036,9,1.0896,23,1.8336,15,1.4226,7,0.3733,1,0.1057,5,0.3436,8,0.4790,6,0.3301,1,0.0401,13,0.5655,15,0.7664,10,0.5105,11,0.5419,8,0.3443,8,0.3685,3,0.1159,2,0.1415,7,0.4193,7,0.3865,6,0.3379,8,0.3899,7,0.3762,2,0.0839
030101021002,10,1.2121,12,1.5002,14,1.6383,10,1.2129,5,0.5224,1,0.2441,4,0.6794,10,1.7126,7,0.8659,2,0.2358,16,1.6637,20,2.2326,17,1.7394,8,0.8688,0,0.0000,18,2.0089,18,2.0438,8,0.7946,10,1.0451,1,0.0926,13,1.4065,5,0.7472,16,2.0258,15,1.6182,22,2.6823,21,2.5807,11,1.1575,13,1.4190,14,1.5656,8,1.2442,11,1.0464,3,0.4136,3,0.4136,3,0.4136,0,0.0000,5,0.6691,5,0.6691,5,0.6691,5,0.6759,5,0.6759,5,0.6759,6,0.7577,6,0.7577,5,0.6145,4,0.4617,14,1.6894,17,1.9656,21,2.4485,15,1.6541,11,1.2245,10,1.3158,10,1.1298,13,1.4077,14,1.5587,16,1.9202,1,0.1110,3,0.3980,3,0.3346,4,0.4508,8,0.9376,4,0.4648,17,2.2287,7,0.7842,13,1.4808,14,1.6557,1,0.2441,9,2.4974,11,2.9164,9,2.4754,11,2.8945,9,1.0238,10,1.1987,2,0.2358,9,1.0659,27,4.3714,11,1.1348,15,1.8366,16,3.1772,11,2.6615,11,2.5142,1,0.1110,2,0.2358,20,3.6996,9,2.5144,24,4.4440,15,3.2880,7,0.8616,1,0.2441,5,0.7904,8,1.1058,6,0.7620,1,0.0926,13,1.3051,15,1.7261,10,1.2015,11,1.2740,8,0.7946,8,0.8476,3,0.2674,2,0.3266,7,0.9912,8,1.1039,6,0.7800,8,0.9000,7,0.8685,2,0.1937
030101021003,10,1.0473,11,1.1131,14,1.4154,10,1.0479,5,0.4514,1,0.2109,4,0.5870,9,1.0391,7,0.7482,2,0.2037,16,1.4016,19,1.8244,17,1.5439,8,0.7506,0,0.0000,18,1.6995,18,1.7298,8,0.6864,10,0.9029,1,0.0800,13,1.2024,4,0.4626,16,1.6073,15,1.3980,21,2.0552,21,2.0633,11,1.0000,14,1.3756,15,1.5023,7,0.7590,10,0.8082,3,0.3447,3,0.3447,3,0.3447,0,0.0000,5,0.5780,5,0.5780,5,0.5780,5,0.5713,5,0.5713,5,0.5713,6,0.6420,6,0.6420,5,0.5183,4,0.3988,13,1.3650,16,1.5799,21,2.0915,15,1.3917,11,1.0207,10,1.0995,10,0.9561,13,1.2160,14,1.3442,16,1.6366,0,0.0000,3,0.3438,3,0.2890,4,0.3894,8,0.7988,4,0.3977,16,1.7186,7,0.6538,13,1.2793,14,1.4304,1,0.2109,9,2.1577,11,2.5198,9,2.1388,11,2.5009,9,0.8845,10,1.0357,2,0.2037,9,0.9222,27,3.7545,10,0.8844,15,1.5507,16,2.7091,11,2.2750,11,2.1651,0,0.0000,2,0.2037,20,3.1867,9,2.1686,23,3.6453,15,2.6969,7,0.7445,1,0.2109,4,0.5870,8,0.9554,6,0.6584,1,0.0800,13,1.1275,14,1.3712,10,1.0265,11,1.0892,8,0.6864,7,0.6364,3,0.2310,2,0.2822,7,0.8465,7,0.7707,6,0.6739,8,0.7776,7,0.7504,2,0.1673
030101021004,10,0.0698,11,0.0742,14,0.0946,10,0.0681,5,0.0312,0,0.0000,3,0.0245,8,0.0553,7,0.0495,2,0.0147,15,0.0921,19,0.1279,17,0.1102,8,0.0542,0,0.0000,17,0.1162,17,0.1185,8,0.0496,10,0.0652,1,0.0058,13,0.0852,3,0.0182,14,0.0955,15,0.0961,19,0.1277,19,0.1284,11,0.0687,13,0.0837,14,0.0905,5,0.0346,10,0.0583,3,0.0237,3,0.0237,3,0.0237,0,0.0000,5,0.0415,5,0.0415,5,0.0415,5,0.0400,5,0.0400,5,0.0400,6,0.0434,6,0.0434,5,0.0344,4,0.0288,13,0.0944,16,0.1091,21,0.1490,14,0.0944,10,0.0678,9,0.0726,10,0.0684,13,0.0870,14,0.0933,16,0.1135,0,0.0000,3,0.0248,3,0.0205,4,0.0278,8,0.0580,4,0.0285,16,0.1221,7,0.0464,13,0.0892,14,0.0974,0,0.0000,9,0.1556,10,0.1638,9,0.1544,10,0.1627,9,0.0607,10,0.0690,2,0.0147,9,0.0624,27,0.2661,10,0.0638,14,0.1071,15,0.1909,10,0.1591,11,0.1570,0,0.0000,2,0.0147,20,0.2263,8,0.1412,22,0.2473,13,0.1737,7,0.0497,0,0.0000,3,0.0245,7,0.0497,6,0.0435,1,0.0058,13,0.0814,14,0.0975,10,0.0739,11,0.0784,8,0.0496,7,0.0460,3,0.0167,1,0.0051,6,0.0456,6,0.0404,5,0.0334,7,0.0409,6,0.0363,2,0.0107
030101030102,6,0.1239,6,0.1240,9,0.1839,6,0.1302,4,0.0731,0,0.0000,2,0.0520,5,0.1045,4,0.0860,2,0.0471,16,0.4148,17,0.3495,15,0.3350,7,0.1470,0,0.0000,16,0.3605,16,0.3783,7,0.1356,10,0.2088,2,0.0804,14,0.4264,4,0.1328,11,0.2100,10,0.1935,17,0.3801,17,0.3820,7,0.1327,14,0.3988,16,0.5057,5,0.2161,10,0.2216,1,0.0310,1,0.0310,1,0.0310,2,0.3554,7,0.4890,7,0.4890,5,0.1336,5,0.4388,5,0.4388,3,0.0834,4,0.3133,5,0.4298,2,0.0457,8,1.2654,17,1.1713,22,1.6579,26,1.8330,19,0.9400,14,0.6415,11,0.4812,10,0.3588,15,0.5684,22,1.6973,22,1.6120,0,0.0000,4,0.1746,7,0.9369,10,1.3327,11,0.6806,6,0.4482,18,0.8005,7,0.4335,10,0.2125,10,0.2125,0,0.0000,9,0.4984,9,0.4984,8,0.4674,8,0.4674,7,0.1525,7,0.1525,2,0.0471,9,0.2196,25,0.9129,10,0.2207,13,0.2766,14,0.5548,10,0.5096,11,0.5649,0,0.0000,3,0.1457,19,0.7766,8,0.4530,22,0.9156,11,0.5741,5,0.1105,0,0.0000,2,0.0520,5,0.1105,4,0.0906,1,0.0185,12,0.2723,11,0.2326,8,0.1590,9,0.1735,7,0.1356,7,0.1472,3,0.0695,1,0.0165,5,0.0914,7,0.1786,5,0.1071,8,0.1802,5,0.1059,2,0.0386
030101030103,6,0.0087,6,0.0087,9,0.0129,6,0.0091,4,0.0051,0,0.0000,2,0.0036,5,0.0073,4,0.0060,2,0.0033,15,0.0275,17,0.0244,15,0.0234,7,0.0090,0,0.0000,15,0.0224,15,0.0236,7,0.0095,10,0.0146,2,0.0056,14,0.0298,4,0.0092,11,0.0147,10,0.0122,17,0.0265,17,0.0267,7,0.0080,14,0.0278,16,0.0353,5,0.0151,10,0.0155,1,0.0022,1,0.0022,1,0.0022,1,0.0167,6,0.0260,6,0.0260,5,0.0093,4,0.0225,4,0.0225,3,0.0058,4,0.0219,4,0.0219,2,0.0032,7,0.0760,16,0.0695,17,0.0835,22,0.1005,17,0.0487,13,0.0434,10,0.0321,9,0.0194,14,0.0316,18,0.0920,17,0.0802,0,0.0000,4,0.0122,5,0.0463,7,0.0657,10,0.0418,5,0.0231,17,0.0502,6,0.0245,10,0.0149,10,0.0149,0,0.0000,9,0.0348,9,0.0348,8,0.0326,8,0.0326,7,0.0107,7,0.0107,2,0.0033,9,0.0153,24,0.0580,10,0.0154,12,0.0179,13,0.0372,9,0.0340,10,0.0337,0,0.0000,2,0.0033,18,0.0484,8,0.0316,21,0.0582,10,0.0343,5,0.0077,0,0.0000,2,0.0036,5,0.0077,4,0.0063,1,0.0013,12,0.0190,11,0.0163,8,0.0111,9,0.0121,7,0.0095,7,0.0103,3,0.0049,1,0.0011,5,0.0064,7,0.0125,5,0.0075,8,0.0126,5,0.0074,2,0.0027
030101030104,6,0.1455,7,0.1750,10,0.2454,7,0.1824,4,0.0858,0,0.0000,2,0.0610,5,0.1228,4,0.1011,2,0.0553,16,0.4680,17,0.3910,15,0.3742,7,0.1725,0,0.0000,17,0.4524,17,0.4732,7,0.1590,10,0.2450,2,0.0944,14,0.4815,4,0.1557,11,0.2463,11,0.2566,17,0.4459,17,0.4482,8,0.1853,14,0.4679,16,0.5744,5,0.2537,10,0.2412,1,0.0363,1,0.0363,1,0.0363,1,0.2809,6,0.4378,6,0.4378,5,0.1568,4,0.3788,4,0.3788,3,0.0978,4,0.3682,4,0.3682,2,0.0537,7,1.2799,16,1.1694,18,1.4269,23,1.7130,18,0.8408,14,0.7528,11,0.5647,9,0.3245,14,0.5115,19,1.5505,18,1.3730,0,0.0000,4,0.2049,5,0.7794,7,1.1072,10,0.7029,5,0.3899,17,0.8434,6,0.4129,10,0.2495,10,0.2495,0,0.0000,9,0.5855,9,0.5855,8,0.5492,8,0.5492,7,0.1791,7,0.1791,2,0.0553,9,0.2387,24,0.9565,10,0.2399,13,0.3246,14,0.6516,10,0.5986,10,0.5670,0,0.0000,2,0.0553,18,0.7966,8,0.5323,21,0.9786,10,0.5780,5,0.1298,0,0.0000,2,0.0610,5,0.1298,4,0.1064,1,0.0217,12,0.3006,11,0.2540,8,0.1865,9,0.2035,7,0.1590,7,0.1727,3,0.0627,1,0.0193,5,0.1072,7,0.2095,5,0.1256,8,0.2113,5,0.1053,2,0.0454
