SppCode_GAP,ComName_GAP,SciName_GAP,Xwalk_Notes,ComName_WRC,SciName_WRC,CA_4.2.10c,CA_4.2.11c,CA_4.2.12,CA_4.2.13c,CA_4.2.14,CA_4.2.8c,CA_4.2.9c,CT_4.4.1,CT_4.4.11,CT_4.4.13,CT_4.4.14u,CT_4.4.15,CT_4.4.16,CT_4.4.17h,CT_4.4.17s,CT_4.4.17w,CT_4.4.18,CT_4.4.8,CT_4.4.9,CW_4.3.10,CW_4.3.11,CW_4.3.2,CW_4.3.3,CW_4.3.4,CW_4.3.6,CW_4.3.7,CW_4.3.8,CW_4.3.9,CW_4.4.14w,MA_4.2.13a,MA_4.2.13b,MA_4.2.13c,MA_4.2.6a,MA_4.2.7a,MA_4.2.7b,MA_4.2.7c,MA_4.2.8a,MA_4.2.8b,MA_4.2.8c,MA_4.2.9a,MA_4.2.9b,MA_4.2.9c,MT_4.4.1,MT_4.4.10,MT_4.4.11,MT_4.4.12,MT_4.4.17h,MT_4.4.17s,MT_4.4.17w,MT_4.4.18,MT_4.4.2,MT_4.4.3,MT_4.4.4,MT_4.4.5,MT_4.4.6,MT_4.4.7,MT_4.4.8,MW_4.3.1,MW_4.3.10,MW_4.3.5,MW_4.3.9,PA_4.2.13b,PA_4.2.13c,PA_4.2.7b,PA_4.2.7c,PA_4.2.8b,PA_4.2.8c,PA_4.2.9b,PA_4.2.9c,PT_4.4.1,PT_4.4.10,PT_4.4.11,PT_4.4.13,PT_4.4.17h,PT_4.4.18,PT_4.4.5,PT_4.4.8,PT_4.4.9,PW_4.3.10,PW_4.3.5,PW_4.3.9,PT_4.4.17s,PT_4.4.17w,SA_4.2.13c,SA_4.2.7c,SA_4.2.8c,SA_4.2.9c,ST_4.4.1,ST_4.4.11,ST_4.4.13,ST_4.4.17h,ST_4.4.17s,ST_4.4.17w,ST_4.4.18,ST_4.4.9,SW_4.3.11,SW_4.3.4,SW_4.3.5,SW_4.3.7,SW_4.3.8,SW_4.3.9
rSPSOx,Spiny Softshell,Apalone spinifera,represented as full species in GAP,Gulf Coast or Eastern Softshell,Apalone spinifera aspera or A. S. spinifera,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,X?,X?,X?,,,,,,,,X?,X?,X?,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rSPTUx,Spotted Turtle,Clemmys guttata,,Spotted Turtle,Clemmys guttata,,,,,,,,,,,,,,,,,,,X,,,,X,X,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,X,X,,,,,,,,,,,,,,,,,,,,
rSTMTx,Striped Mud Turtle,Kinosternon baurii,,Striped Mud Turtle,Kinosternon baurii,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mELK1x,Elk,Cervus elaphus,,Elk,Cervus elaphus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,X,X,X,X,X,,,X,,X,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rTIRAx,Timber Rattlesnake,Crotalus horridus,,Timber Rattlesnake,Crotalus horridus,,,,,,,,,X,X,,,,,,,,,X,,,,X,X,,X,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,,,,,,,X,X,,,X,,,,,,,,,,,X,X,,,,,,X,,X,,,,,,,,,,,,,,,,,,,,,
mESFMx,Eastern Small-footed Myotis,Myotis leibii,,Eastern Small-footed Myotis,Myotis leibii,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rYBKIx,Yellow-bellied Kingsnake,Lampropeltis calligaster,represented as full species in GAP,Mole Kingsnake,Lampropeltis calligaster rhombomaculata,,,,,,,,,,,,,,X?,X?,X?,X?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X?,X?,X?,X?,,,,,,,,,,,,,,,,,,,,,,,,X?,X?,,,,,,,X?,X?,,,,,,,,X?,X?,X?,X?,,,,,,,
aSODSx,Southern Dusky Salamander,Desmognathus auriculatus,,Southern Dusky Salamander,Desmognathus auriculatus,,,,,,,,,,,X,,,,,,,,,,,,X,X,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aSPDSx,Spotted Dusky Salamander,Desmognathus conanti,,Spotted Dusky Salamander,Desmognathus conanti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,,,,,,,,,X,X,X,,,,,,X,X,,,,,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aSRSAx,Southern Ravine Salamander,Plethodon richmondi,,Southern Ravine Salamander,Plethodon richmondi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,,,,,,X,X,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
